ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Season,City,Sport,Event,Medal,Games1,Games2
2750,Alison Grant,F,22,180,71,Brazion,BRA,2004 Summer,Summer,Athina,Football,"Football Women's Football",Silver,2004,Summer
2755,Alan Manning,M,29,175,80,Rusfara,RUS,2004 Summer,Summer,Athina,Shooting,"Shooting Men's Trap",Gold,2004,Summer
2760,Christian Marshall,M,28,187,75,Nigoris,NGR,2004 Summer,Summer,Athina,Athletics,"Athletics Men's 4 x 100 metres Relay",Bronze,2004,Summer
2849,James Thomson,F,34,163,53,Austrella,AUT,2004 Summer,Summer,Athina,Triathlon,"Triathlon Women's Olympic Distance",Gold,2004,Summer
2874,Una Lawrence,M,25,193,98,Unitonaris,USA,2004 Summer,Summer,Athina,Rowing,"Rowing Men's Coxed Eights",Gold,2004,Summer
2875,Richard Bower,F,25,170,59,Australis,AUS,2004 Summer,Summer,Athina,Softball,"Softball Women's Softball",Silver,2004,Summer
2930,Blake Edmunds,F,34,167,60,Italion,ITA,2004 Summer,Summer,Athina,Water Polo,"Water Polo Women's Water Polo",Gold,2004,Summer
3240,Madeleine Bailey,M,29,190,91,Egtara,EGY,2004 Summer,Summer,Athina,Boxing,"Boxing Men's Super-Heavyweight",Silver,2004,Summer
3308,Blake Wilson,M,24,177,73,Italion,ITA,2004 Summer,Summer,Athina,Rowing,"Rowing Men's Lightweight Coxless Fours",Bronze,2004,Summer
3461,Rachel Taylor,M,28,184,73,Italion,ITA,2004 Summer,Summer,Athina,Rowing,"Rowing Men's Lightweight Coxless Fours",Bronze,2004,Summer
3659,Kylie Manning,M,20,195,84,Crothia,CRO,2004 Summer,Summer,Athina,Tennis,"Tennis Men's Doubles",Bronze,2004,Summer
3756,Jessica McGrath,F,28,172,72,Denarion,DEN,2004 Summer,Summer,Athina,Handball,"Handball Women's Handball",Gold,2004,Summer
3790,Amelia Stewart,M,30,190,95,Brazion,BRA,2004 Summer,Summer,Athina,Volleyball,"Volleyball Men's Volleyball",Gold,2004,Summer
3803,Carol MacLeod,M,23,187,86,Australis,AUS,2004 Summer,Summer,Athina,Baseball,"Baseball Men's Baseball",Silver,2004,Summer
4021,Warren Ball,M,26,183,89,Japarion,JPN,2004 Summer,Summer,Athina,Baseball,"Baseball Men's Baseball",Bronze,2004,Summer
4101,Andrea Hamilton,F,26,175,65,Brazion,BRA,2004 Summer,Summer,Athina,Football,"Football Women's Football",Silver,2004,Summer
4435,Michael Hudson,F,28,162,76,Japarion,JPN,2004 Summer,Summer,Athina,Judo,"Judo Women's Half-Heavyweight",Gold,2004,Summer
4505,Blake Graham,M,20,203,109,Unitonaris,USA,2004 Summer,Summer,Athina,Basketball,"Basketball Men's Basketball",Bronze,2004,Summer
4515,Lisa Coleman,M,40,173,73,Unitonaris,USA,2004 Summer,Summer,Athina,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Silver,2004,Summer
4569,Kimberly White,F,29,170,70,Argentara,ARG,2004 Summer,Summer,Athina,Hockey,"Hockey Women's Hockey",Bronze,2004,Summer
4613,Matt Fraser,F,23,182,69,Rusfara,RUS,2004 Summer,Summer,Athina,Athletics,"Athletics Women's 400 metres",Bronze,2004,Summer
4613,Matt Fraser,F,23,182,69,Rusfara,RUS,2004 Summer,Summer,Athina,Athletics,"Athletics Women's 4 x 400 metres Relay",Silver,2004,Summer
4674,Deirdre Young,M,22,184,120,Turkion,TUR,2004 Summer,Summer,Athina,Athletics,"Athletics Men's Hammer Throw",Bronze,2004,Summer
4763,Penelope Carr,M,21,170,77,Turkion,TUR,2004 Summer,Summer,Athina,Weightlifting,"Weightlifting Men's Middleweight",Bronze,2004,Summer
4779,Joshua Roberts,M,30,163,69,Cubaris,CUB,2004 Summer,Summer,Athina,Boxing,"Boxing Men's Welterweight",Silver,2004,Summer
4860,Alexandra Blake,F,32,167,67,Italion,ITA,2004 Summer,Summer,Athina,Water Polo,"Water Polo Women's Water Polo",Gold,2004,Summer
4977,Virginia Bell,M,24,167,66,Cubaris,CUB,2004 Summer,Summer,Athina,Judo,"Judo Men's Half-Lightweight",Bronze,2004,Summer
5074,Karen Payne,M,26,185,81,Belatris,BLR,2004 Summer,Summer,Athina,Boxing,"Boxing Men's Light-Heavyweight",Silver,2004,Summer
5102,Andrew James,F,31,176,63,Rusfara,RUS,2004 Summer,Summer,Athina,Basketball,"Basketball Women's Basketball",Bronze,2004,Summer
5198,Jacob Clark,F,28,173,59,Germarion,GER,2004 Summer,Summer,Athina,Cycling,"Cycling Women's Road Race, Individual",Silver,2004,Summer
5218,Carl Hudson,M,25,183,87,Germarion,GER,2004 Summer,Summer,Athina,Hockey,"Hockey Men's Hockey",Bronze,2004,Summer
5306,Cameron Dyer,F,30,177,64,Francara,FRA,2004 Summer,Summer,Athina,Athletics,"Athletics Women's 4 x 100 metres Relay",Bronze,2004,Summer
5307,Gabrielle Lyman,F,26,167,58,Argentara,ARG,2004 Summer,Summer,Athina,Hockey,"Hockey Women's Hockey",Bronze,2004,Summer
5353,Victoria Henderson,F,29,191,75,Rusfara,RUS,2004 Summer,Summer,Athina,Volleyball,"Volleyball Women's Volleyball",Silver,2004,Summer
5355,Anthony Turner,M,21,183,75,Kazaris,KAZ,2004 Summer,Summer,Athina,Boxing,"Boxing Men's Welterweight",Gold,2004,Summer
5366,Molly Hughes,F,21,191,78,Rusfara,RUS,2004 Summer,Summer,Athina,Basketball,"Basketball Women's Basketball",Bronze,2004,Summer
5391,Rose MacDonald,M,28,162,56,Turkion,TUR,2004 Summer,Summer,Athina,Weightlifting,"Weightlifting Men's Bantamweight",Bronze,2004,Summer
5466,Ella Springer,M,28,173,85,Georgis,GEO,2004 Summer,Summer,Athina,Weightlifting,"Weightlifting Men's Light-Heavyweight",Gold,2004,Summer
5588,Claire Chapman,F,32,170,60,Grethius,GRE,2004 Summer,Summer,Athina,Water Polo,"Water Polo Women's Water Polo",Silver,2004,Summer
5625,Dylan Mathis,M,21,175,74,Azurian,AZE,2004 Summer,Summer,Athina,Boxing,"Boxing Men's Flyweight",Bronze,2004,Summer
5724,William Vance,F,46,158,57,Azurian,AZE,2004 Summer,Summer,Athina,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Bronze,2004,Summer
5921,Maria Hughes,M,24,174,75,Nigoris,NGR,2004 Summer,Summer,Athina,Athletics,"Athletics Men's 4 x 400 metres Relay",Bronze,2004,Summer
6201,Phil Black,M,31,177,75,Argentara,ARG,2004 Summer,Summer,Athina,Football,"Football Men's Football",Gold,2004,Summer
6256,Julian Clark,F,27,178,59,Argentara,ARG,2004 Summer,Summer,Athina,Hockey,"Hockey Women's Hockey",Bronze,2004,Summer
6278,Robert Hart,F,24,167,63,Unitardis,GBR,2004 Summer,Summer,Athina,Sailing,"Sailing Women's Three Person Keelboat",Gold,2004,Summer
6299,Victoria Bond,F,31,165,64,Rusfara,RUS,2004 Summer,Summer,Athina,Synchronized Swimming,"Synchronized Swimming Women's Team",Gold,2004,Summer
6343,James Churchill,F,29,170,59,Rusfara,RUS,2004 Summer,Summer,Athina,Fencing,"Fencing Women's epee, Team",Gold,2004,Summer
6345,Richard Blake,F,30,171,68,Spanion,ESP,2004 Summer,Summer,Athina,Sailing,"Sailing Women's Two Person Dinghy",Silver,2004,Summer
6406,Hannah Ince,M,19,199,86,Czevos,CZE,2004 Summer,Summer,Athina,Athletics,"Athletics Men's High Jump",Bronze,2004,Summer
6494,Jacob Vaughan,M,27,186,87,Slovaris,SVK,2004 Summer,Summer,Athina,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze,2004,Summer
6505,Austin Reid,M,28,195,92,Germarion,GER,2004 Summer,Summer,Athina,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver,2004,Summer
6556,Steven Graham,F,26,165,64,Germarion,GER,2004 Summer,Summer,Athina,Hockey,"Hockey Women's Hockey",Gold,2004,Summer
6561,Gavin Forsyth,F,21,174,63,Germarion,GER,2004 Summer,Summer,Athina,Football,"Football Women's Football",Bronze,2004,Summer
6744,Bernadette Arnold,M,31,182,90,Canadria,CAN,2004 Summer,Summer,Athina,Rowing,"Rowing Men's Coxless Fours",Silver,2004,Summer
6776,Max Alsop,M,28,193,90,Australis,AUS,2004 Summer,Summer,Athina,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Silver,2004,Summer
6776,Max Alsop,M,28,193,90,Australis,AUS,2004 Summer,Summer,Athina,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Silver,2004,Summer
6880,Adrian Hemmings,F,23,170,64,Jamara,JAM,2004 Summer,Summer,Athina,Athletics,"Athletics Women's 4 x 100 metres Relay",Gold,2004,Summer
7116,Eric Turner,F,34,178,72,Ukrion,UKR,2004 Summer,Summer,Athina,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Bronze,2004,Summer
7147,Phil Welch,M,27,192,96,Rusfara,RUS,2004 Summer,Summer,Athina,Water Polo,"Water Polo Men's Water Polo",Bronze,2004,Summer
7177,Joe Peake,M,29,178,78,Cubaris,CUB,2004 Summer,Summer,Athina,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Silver,2004,Summer
7219,Sarah Rees,M,33,176,62,Italion,ITA,2004 Summer,Summer,Athina,Athletics,"Athletics Men's Marathon",Gold,2004,Summer
7253,Gavin Sutherland,M,25,190,96,Crothia,CRO,2004 Summer,Summer,Athina,Handball,"Handball Men's Handball",Gold,2004,Summer
7364,Sebastian Randall,F,31,166,85,Australis,AUS,2004 Summer,Summer,Athina,Shooting,"Shooting Women's Trap",Gold,2004,Summer
7444,Michelle Bower,F,18,139,36,Romara,ROU,2004 Summer,Summer,Athina,Gymnastics,"Gymnastics Women's Team All-Around",Gold,2004,Summer
7669,Rose Young,M,23,208,94,Rusfara,RUS,2004 Summer,Summer,Athina,Volleyball,"Volleyball Men's Volleyball",Bronze,2004,Summer
7674,Victor Underwood,F,32,192,80,Rusfara,RUS,2004 Summer,Summer,Athina,Basketball,"Basketball Women's Basketball",Bronze,2004,Summer
7809,Elizabeth Manning,F,20,172,63,Argentara,ARG,2004 Summer,Summer,Athina,Swimming,"Swimming Women's 400 metres Individual Medley",Bronze,2004,Summer
7835,Dylan James,M,22,179,77,Paragon,PAR,2004 Summer,Summer,Athina,Football,"Football Men's Football",Silver,2004,Summer
7988,Sean Underwood,M,25,174,75,Australis,AUS,2004 Summer,Summer,Athina,Diving,"Diving Men's Synchronized Springboard",Bronze,2004,Summer
8027,Jasmine MacLeod,M,21,188,120,Rusfara,RUS,2004 Summer,Summer,Athina,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Gold,2004,Summer
8081,Christopher Vaughan,M,23,182,78,Paragon,PAR,2004 Summer,Summer,Athina,Football,"Football Men's Football",Silver,2004,Summer
8082,William Lewis,M,20,178,78,Paragon,PAR,2004 Summer,Summer,Athina,Football,"Football Men's Football",Silver,2004,Summer
8160,William Campbell,F,28,188,72,Cubaris,CUB,2004 Summer,Summer,Athina,Volleyball,"Volleyball Women's Volleyball",Bronze,2004,Summer
8270,Vanessa Hill,M,24,172,48,Cubaris,CUB,2004 Summer,Summer,Athina,Boxing,"Boxing Men's Light-Flyweight",Gold,2004,Summer
8306,Lucas Butler,M,37,193,90,Netharis,NED,2004 Summer,Summer,Athina,Rowing,"Rowing Men's Coxed Eights",Silver,2004,Summer
8343,Alison Hart,F,21,172,64,Unitonaris,USA,2004 Summer,Summer,Athina,Synchronized Swimming,"Synchronized Swimming Women's Duet",Bronze,2004,Summer
8343,Alison Hart,F,21,172,64,Unitonaris,USA,2004 Summer,Summer,Athina,Synchronized Swimming,"Synchronized Swimming Women's Team",Bronze,2004,Summer
8381,Katherine Mackenzie,F,29,172,52,Swedaris,SWE,2004 Summer,Summer,Athina,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver,2004,Summer
8389,Amy Dowd,M,23,190,82,Italion,ITA,2004 Summer,Summer,Athina,Football,"Football Men's Football",Bronze,2004,Summer
8453,Ella Hudson,M,29,192,94,Italion,ITA,2004 Summer,Summer,Athina,Basketball,"Basketball Men's Basketball",Silver,2004,Summer
8590,Sebastian Reid,F,23,195,89,Australis,AUS,2004 Summer,Summer,Athina,Basketball,"Basketball Women's Basketball",Silver,2004,Summer
8646,Victor Stewart,F,33,184,82,Rusfara,RUS,2004 Summer,Summer,Athina,Volleyball,"Volleyball Women's Volleyball",Silver,2004,Summer
8655,Liam Wilson,M,20,160,60,Rusfara,RUS,2004 Summer,Summer,Athina,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold,2004,Summer
8657,Andrew McDonald,F,22,164,69,Belatris,BLR,2004 Summer,Summer,Athina,Weightlifting,"Weightlifting Women's Middleweight",Silver,2004,Summer
8811,Lauren Vaughan,M,33,190,88,Germarion,GER,2004 Summer,Summer,Athina,Handball,"Handball Men's Handball",Silver,2004,Summer
8848,Maria Martin,F,23,174,70,Francara,FRA,2004 Summer,Summer,Athina,Taekwondo,"Taekwondo Women's Heavyweight",Silver,2004,Summer
8910,Pippa Nolan,M,22,182,90,Australis,AUS,2004 Summer,Summer,Athina,Cycling,"Cycling Men's Sprint",Gold,2004,Summer
8910,Pippa Nolan,M,22,182,90,Australis,AUS,2004 Summer,Summer,Athina,Cycling,"Cycling Men's Keirin",Gold,2004,Summer
9034,Amanda Churchill,F,22,173,59,Unitonaris,USA,2004 Summer,Summer,Athina,Swimming,"Swimming Women's 200 metres Breaststroke",Gold,2004,Summer
9034,Amanda Churchill,F,22,173,59,Unitonaris,USA,2004 Summer,Summer,Athina,Swimming,"Swimming Women's 200 metres Individual Medley",Silver,2004,Summer
9034,Amanda Churchill,F,22,173,59,Unitonaris,USA,2004 Summer,Summer,Athina,Swimming,"Swimming Women's 4 x 100 metres Medley Relay",Silver,2004,Summer
9093,Phil Burgess,F,25,175,81,Unitonaris,USA,2004 Summer,Summer,Athina,Water Polo,"Water Polo Women's Water Polo",Bronze,2004,Summer
9152,Cameron King,M,32,190,88,Germarion,GER,2004 Summer,Summer,Athina,Hockey,"Hockey Men's Hockey",Bronze,2004,Summer
9209,Kevin Lyman,M,22,180,72,Germarion-1,GER,2004 Summer,Summer,Athina,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Silver,2004,Summer
9213,Nathan Duncan,M,45,182,78,Germarion,GER,2004 Summer,Summer,Athina,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze,2004,Summer
9355,Caroline Vaughan,M,29,200,97,Unitonaris,USA,2004 Summer,Summer,Athina,Rowing,"Rowing Men's Coxed Eights",Gold,2004,Summer
9394,Adam Edmunds,F,35,180,64,Brazion-1,BRA,2004 Summer,Summer,Athina,Beach Volleyball,"Beach Volleyball Women's Beach Volleyball",Silver,2004,Summer
9479,Sam Sharp,F,26,172,62,Grethius,GRE,2004 Summer,Summer,Athina,Sailing,"Sailing Women's Two Person Dinghy",Gold,2004,Summer
9487,Jane Kelly,M,22,165,56,Etharion,ETH,2004 Summer,Summer,Athina,Athletics,"Athletics Men's 5,000 metres",Silver,2004,Summer
9487,Jane Kelly,M,22,165,56,Etharion,ETH,2004 Summer,Summer,Athina,Athletics,"Athletics Men's 10,000 metres",Gold,2004,Summer
9803,Caroline Dyer,F,31,182,104,Cubaris,CUB,2004 Summer,Summer,Athina,Judo,"Judo Women's Heavyweight",Silver,2004,Summer
9811,Molly Gill,F,20,175,53,Rusfara,RUS,2004 Summer,Summer,Athina,Rhythmic Gymnastics,"Rhythmic Gymnastics Women's Group",Gold,2004,Summer
10013,Stephen Nash,M,32,190,96,Hungaris,HUN,2004 Summer,Summer,Athina,Water Polo,"Water Polo Men's Water Polo",Gold,2004,Summer
10033,Amy Duncan,M,44,173,80,Italion,ITA,2004 Summer,Summer,Athina,Shooting,"Shooting Men's Skeet",Gold,2004,Summer
10085,Phil Quinn,M,42,171,67,Swedaris,SWE,2004 Summer,Summer,Athina,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver,2004,Summer
10098,Evan Mackenzie,F,26,166,47,Morocarion,MAR,2004 Summer,Summer,Athina,Athletics,"Athletics Women's 800 metres",Silver,2004,Summer
10121,Nicholas McLean,M,23,190,80,Paragon,PAR,2004 Summer,Summer,Athina,Football,"Football Men's Football",Silver,2004,Summer
10136,Joseph Martin,F,27,185,74,Unitonaris,USA,2004 Summer,Summer,Athina,Swimming,"Swimming Women's 4 x 100 metres Freestyle Relay",Silver,2004,Summer
10136,Joseph Martin,F,27,185,74,Unitonaris,USA,2004 Summer,Summer,Athina,Swimming,"Swimming Women's 4 x 200 metres Freestyle Relay",Gold,2004,Summer
10352,Colin Abraham,M,24,180,105,Rusfara,RUS,2004 Summer,Summer,Athina,Weightlifting,"Weightlifting Men's Heavyweight",Gold,2004,Summer
10389,Joanne Mills,F,29,168,61,Unitonaris,USA,2004 Summer,Summer,Athina,Softball,"Softball Women's Softball",Gold,2004,Summer
10871,Joshua Robertson,M,28,187,70,Italion,ITA,2004 Summer,Summer,Athina,Rowing,"Rowing Men's Lightweight Coxless Fours",Bronze,2004,Summer
11026,Charles Buckland,M,23,175,75,Cubaris,CUB,2004 Summer,Summer,Athina,Baseball,"Baseball Men's Baseball",Gold,2004,Summer
11069,Nathan Wilkins,M,30,169,58,Italion,ITA,2004 Summer,Summer,Athina,Cycling,"Cycling Men's Road Race, Individual",Gold,2004,Summer
11173,Eric Young,F,20,174,49,Ukrion,UKR,2004 Summer,Summer,Athina,Rhythmic Gymnastics,"Rhythmic Gymnastics Women's Individual",Bronze,2004,Summer
11195,Madeleine Gray,F,25,147,43,Unitonaris,USA,2004 Summer,Summer,Athina,Gymnastics,"Gymnastics Women's Team All-Around",Silver,2004,Summer
11304,Wanda Gibson,F,21,184,84,Belatris,BLR,2004 Summer,Summer,Athina,Rowing,"Rowing Women's Coxless Pairs",Bronze,2004,Summer
11347,Rose Johnston,M,22,176,73,Germarion,GER,2004 Summer,Summer,Athina,Hockey,"Hockey Men's Hockey",Bronze,2004,Summer
11546,Ruth Robertson,M,22,201,100,Ukrion,UKR,2004 Summer,Summer,Athina,Rowing,"Rowing Men's Quadruple Sculls",Bronze,2004,Summer
11559,Stephanie Walker,M,29,169,69,Grethius,GRE,2004 Summer,Summer,Athina,Diving,"Diving Men's Synchronized Springboard",Gold,2004,Summer
11671,Sebastian Rampling,F,23,175,66,Unitonaris,USA,2004 Summer,Summer,Athina,Basketball,"Basketball Women's Basketball",Gold,2004,Summer
11725,Oliver Vaughan,M,28,196,102,Hungaris,HUN,2004 Summer,Summer,Athina,Water Polo,"Water Polo Men's Water Polo",Gold,2004,Summer
11782,Boris Blake,F,32,184,85,Unitardis,GBR,2004 Summer,Summer,Athina,Rowing,"Rowing Women's Coxless Pairs",Silver,2004,Summer
11995,Jacob MacDonald,F,33,170,54,Unitonaris,USA,2004 Summer,Summer,Athina,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze,2004,Summer
12113,Dan Howard,F,16,168,49,Italion,ITA,2004 Summer,Summer,Athina,Rhythmic Gymnastics,"Rhythmic Gymnastics Women's Group",Silver,2004,Summer
12178,Carl Glover,F,29,182,57,Germarion,GER,2004 Summer,Summer,Athina,Rowing,"Rowing Women's Lightweight Double Sculls",Silver,2004,Summer
12279,Adrian Nash,M,22,185,95,Rusfara,RUS,2004 Summer,Summer,Athina,Shooting,"Shooting Men's Running Target, 10 metres",Silver,2004,Summer
12574,Elizabeth Abraham,M,27,192,89,Hungaris,HUN,2004 Summer,Summer,Athina,Fencing,"Fencing Men's epee, Team",Silver,2004,Summer
12819,Angela Abraham,F,24,179,83,Germarion,GER,2004 Summer,Summer,Athina,Judo,"Judo Women's Middleweight",Bronze,2004,Summer
12867,William Welch,M,24,180,70,Francara,FRA,2004 Summer,Summer,Athina,Fencing,"Fencing Men's epee, Team",Gold,2004,Summer
12886,Anna Walker,M,30,185,76,Francara,FRA,2004 Summer,Summer,Athina,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold,2004,Summer
12907,Carl Grant,F,30,183,65,Germarion,GER,2004 Summer,Summer,Athina,Fencing,"Fencing Women's epee, Team",Silver,2004,Summer
13166,Carolyn North,M,23,185,80,Italion,ITA,2004 Summer,Summer,Athina,Football,"Football Men's Football",Bronze,2004,Summer
13227,Warren Berry,F,23,168,61,Germarion,GER,2004 Summer,Summer,Athina,Judo,"Judo Women's Lightweight",Gold,2004,Summer
13276,Audrey Reid,M,36,182,85,Italion,ITA,2004 Summer,Summer,Athina,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver,2004,Summer
13319,Luke Greene,F,27,163,57,Netharis,NED,2004 Summer,Summer,Athina,Hockey,"Hockey Women's Hockey",Silver,2004,Summer
13325,Adam Lambert,F,31,168,63,Netharis,NED,2004 Summer,Summer,Athina,Hockey,"Hockey Women's Hockey",Silver,2004,Summer
13332,Keith Campbell,M,24,173,64,Thailion,THA,2004 Summer,Summer,Athina,Boxing,"Boxing Men's Light-Welterweight",Gold,2004,Summer
13347,Vanessa White,F,19,159,49,Thailion,THA,2004 Summer,Summer,Athina,Taekwondo,"Taekwondo Women's Flyweight",Bronze,2004,Summer
13372,Bernadette Robertson,M,22,206,117,Unitonaris,USA,2004 Summer,Summer,Athina,Basketball,"Basketball Men's Basketball",Bronze,2004,Summer
13581,Amelia McLean,F,22,192,75,Ukrion,UKR,2004 Summer,Summer,Athina,Handball,"Handball Women's Handball",Bronze,2004,Summer
13589,Jan Butler,F,34,184,77,Germarion,GER,2004 Summer,Summer,Athina,Rowing,"Rowing Women's Quadruple Sculls",Gold,2004,Summer
13636,Julian Miller,M,21,185,78,Cubaris,CUB,2004 Summer,Summer,Athina,Baseball,"Baseball Men's Baseball",Gold,2004,Summer
13683,Matt Hill,F,28,188,72,Ukrion,UKR,2004 Summer,Summer,Athina,Handball,"Handball Women's Handball",Bronze,2004,Summer
13687,Wanda Simpson,M,23,183,70,Rusfara,RUS,2004 Summer,Summer,Athina,Athletics,"Athletics Men's 800 metres",Gold,2004,Summer
13703,Stephanie Miller,M,20,190,85,Netharis,NED,2004 Summer,Summer,Athina,Cycling,"Cycling Men's Sprint",Silver,2004,Summer
13717,Connor Cameron,F,24,183,70,Netharis,NED,2004 Summer,Summer,Athina,Judo,"Judo Women's Middleweight",Silver,2004,Summer
13755,Dorothy Ellison,M,34,190,86,Spanion,ESP,2004 Summer,Summer,Athina,Beach Volleyball,"Beach Volleyball Men's Beach Volleyball",Silver,2004,Summer
13801,Sally King,F,25,164,59,Italion,ITA,2004 Summer,Summer,Athina,Water Polo,"Water Polo Women's Water Polo",Gold,2004,Summer
13806,Jennifer Knox,F,26,180,69,Hungaris,HUN,2004 Summer,Summer,Athina,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver,2004,Summer
14106,Lucas Duncan,M,24,181,77,Francara,FRA,2004 Summer,Summer,Athina,Cycling,"Cycling Men's Team Sprint",Bronze,2004,Summer
14227,Elizabeth Hughes,M,21,196,74,Trinagora,TTO,2004 Summer,Summer,Athina,Swimming,"Swimming Men's 200 metres Individual Medley",Bronze,2004,Summer
14234,Boris Mackenzie,M,21,181,75,Italion,ITA,2004 Summer,Summer,Athina,Football,"Football Men's Football",Bronze,2004,Summer
14299,Ryan Dowd,F,27,172,67,Unitonaris,USA,2004 Summer,Summer,Athina,Football,"Football Women's Football",Gold,2004,Summer
14503,Amanda Henderson,F,24,178,74,Australis,AUS,2004 Summer,Summer,Athina,Rowing,"Rowing Women's Quadruple Sculls",Bronze,2004,Summer
14578,Harry Hardacre,F,30,169,60,Unitardis,GBR,2004 Summer,Summer,Athina,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver,2004,Summer
14909,David Simpson,M,25,185,78,Italion,ITA,2004 Summer,Summer,Athina,Swimming,"Swimming Men's 4 x 200 metres Freestyle Relay",Bronze,2004,Summer
14946,Lisa Gray,M,28,182,79,Australis,AUS,2004 Summer,Summer,Athina,Hockey,"Hockey Men's Hockey",Gold,2004,Summer
14959,Audrey Buckland,M,35,188,79,Netharis,NED,2004 Summer,Summer,Athina,Cycling,"Cycling Men's Mountainbike, Cross-Country",Bronze,2004,Summer
15001,Christopher Hill,M,26,185,81,Unitonaris,USA,2004 Summer,Summer,Athina,Athletics,"Athletics Men's 400 metres",Bronze,2004,Summer
15001,Christopher Hill,M,26,185,81,Unitonaris,USA,2004 Summer,Summer,Athina,Athletics,"Athletics Men's 4 x 400 metres Relay",Gold,2004,Summer
15041,Stephen Grant,M,22,195,98,Australis,AUS,2004 Summer,Summer,Athina,Baseball,"Baseball Men's Baseball",Silver,2004,Summer
15340,Richard Bell,F,35,170,62,Australis,AUS,2004 Summer,Summer,Athina,Basketball,"Basketball Women's Basketball",Silver,2004,Summer
15394,Stewart Mitchell,M,24,186,79,Australis,AUS,2004 Summer,Summer,Athina,Hockey,"Hockey Men's Hockey",Gold,2004,Summer
15451,Liam Morgan,M,24,185,81,Netharis,NED,2004 Summer,Summer,Athina,Hockey,"Hockey Men's Hockey",Silver,2004,Summer
